CELL               1     0.000     1.000     0.000     0.000     0.000
CELLA              1     0.000     1.000     0.000     0.000     0.000
Char               0    71.400     3.298     0.000     0.000     0.000
C2H4               2   280.800     3.971     0.000     0.000     1.500
C2H5OH             2   362.600     4.530     0.000     0.000     1.500
C3H4O2             2   435.200     4.662     2.700     0.000     1.000 
C3H6O              2   411.000     4.820     0.000     0.000     1.000
C3H6O2             2   503.072     5.339     1.670     7.016     1.000
C11H12O4           2   663.45      6.362     0.000     0.000     1.000
CH2O               2   498.000     3.590     0.000     0.000     2.000
CH3CHO             2   436.000     3.970     0.000     0.000     2.000
CH3OH              2   481.800     3.626     0.000     0.000     1.000                              
CH4                2   141.400     3.746     0.000     2.600    13.000                            
CO                 1    98.100     3.650     0.000     1.950     1.800                              
CO2                1   244.000     3.763     0.000     2.650     2.100 
G_COH2             1     0.000     1.000     0.000     0.000     0.000 
G_CO               1    98.100     3.650     0.000     1.950     1.800                              
G_CO2              1   244.000     3.763     0.000     2.650     2.100 
G_H2               1    38.000     2.920     0.000     0.790   280.000
Glyoxal            2   470.600     4.410     0.000     0.000     1.500
HCE                1     0.000     1.000     0.000     0.000     0.000
HCE1               1     0.000     1.000     0.000     0.000     0.000
HCE2               1     0.000     1.000     0.000     0.000     0.000
H2                 1    38.000     2.920     0.000     0.790   280.000
H2O                2   572.400     2.605     1.844     0.000     4.000 
HAA                2   496.000     5.200     0.000     0.000     1.000
HMFU               2   567.841     5.915     0.000     0.000     1.000
LIG                2   663.45      6.362     0.000     0.000     1.000
LIG_C              1     0.000     1.000     0.000     0.000     0.000
LIG_CC             1     0.000     1.000     0.000     0.000     0.000
LIG_H              1     0.000     1.000     0.000     0.000     0.000
LIG_O              1     0.000     1.000     0.000     0.000     0.000
LIG_OH             1     0.000     1.000     0.000     0.000     0.000
LVG                2   568.500     5.230     0.000     10.30     1.000
pCoumaryl          2   663.45      6.362     0.000     0.000     1.000
Phenol             1     0.000     1.000     0.000     0.000     0.000
XYLOSE             1     0.000     1.000     0.000     0.000     0.000
